WOD code,NODC code,Platform Name
8563,90XM,ARSK (F/V; call sign UWIW; built 1972; IMO7229136; Lloyd's Register 1990-91) 
7677,90A9,ARTEM
6314,90AZ,ARTEMIDA (R/V; call sign EWVT; built 03.1972; IMO7129697)
2661,32AR,ARTEMIS
800,18AY,ARTICA
7678,90GC,ARTYK (F/V; call sign UFAO; built 1973; IMO7320722)
8021,14AR,ARY RONGEL (Call sign PWAR;built 1981;ex. Polar Queen 1994;IMO7922142)
4540,49AD,ASACHIDORI (Call sign JCDT; active 08.1948 - 01.1967)
4714,49GS,ASAGIRI MARU 
4932,49PJ,ASAHI MARU (use 49PJ)
4544,49AH,ASAHI-MARU
4563,49A1,ASAHI-MARU NO 1
4547,49AK,ASAKAZE-MARU 
10145,49UQ,ASAMA (Call sign JH3491; built 03.2002)
4571,49A9,ASAMA MARU
10076,49Q5,ASAMA MARU (Call sign JH2871; built 10.1984) 
4543,49AG,ASANAGI MARU (Active 1948 - 09.1952) 
4555,49AS,ASASHIO MARU (Call sign JMQM; active 04.1942 - 06.1960)
4575,49BD,ASHITAKA
4539,49AC,ASHIZURI
4880,49M9,ASHU MARU
5033,49UH,ASHU MARU NO 2 (Call sign JFVX; built 03.1960)
4598,49B2,ASIA MARU
7599,HKAC,ASIAN CHALLENGER (VRSR; 1991)
109,PAA1,ASIAN PROGRESS (HPYZ) (LLOYD'S #810900)
6289,90AA,ASKOLD (M.Factory Fishing;call sign UVYZ; built 1963;IMO6724127 Lloyd's 1990-91)
783,18AE,ASSINIBOINE
2250,31ZA,ASSURANCE
1351,31AA,ASTERIAS
5310,58AT,ASTERIAS
1360,31AJ,ASTERION
2357,312A,ASTOR
5298,58AF,ASTOR
6878,74A2,ASTRID
4043,35AC,ASTROLABE (Built 1811; scientific voyages 1822-1825; 1826-1829; 1837-1840)
5167,492U,ASU-85 (1963)
208,06A3,ATAIR (R/V; call sign DBBA; service date 05/04/1962 - 04/29/1987)
9266,06A7,ATAIR (R/V; call sign DBBI; commissioned 07/13/1987; IMO8521426)
2470,315G,ATAKAPA
786,18AH,ATHABASKAN
7282,33AH,ATHENA II
797,18AS,ATKINSON
6319,90A6,ATLANT (F/V; call sign UOLF;built 1964; IMO6510382; Kaliningrad)
2665,32AV,ATLANTIC
3539,32ZI,ATLANTIC CAUSEWAY
5635,74AC,ATLANTIC CAUSEWAY (Comm-d 1969; decomm-d 1986)
8612,18DT,ATLANTIC CLAIRE (F/V; call sign VC8218;built 1974; IMO7356410)
